Name,David,Jobo,Jason,Alice,Qihan,Yuhan,Chloe,Seika,Amy,John
Aether,33,33,16,32,22,27,3,24,25,18
Albedo,32,30,11,20,12,7,8,15,14,22
Amber,5,24,17,16,17,19,23,22,2,23
Ayaka,16,10,19,33,5,12,25,5,28,32
Barbara,12,21,21,26,18,15,26,14,18,21
Beidou,11,1,6,4,13,9,9,17,19,29
Bennett,13,32,29,23,25,33,14,20,30,3
Chongyun,30,28,28,10,30,26,11,21,22,8
Diluc,31,8,8,21,32,31,5,6,12,1
Diona,7,31,31,18,31,14,31,22,13,9
Fischl,17,19,30,7,10,23,29,23,7,11
Ganyu,1,16,15,9,26,1,19,3,11,20
Hu Tao,9,5,9,5,3,8,18,29,15,26
Jean,27,27,2,28,14,18,4,1,9,13
Kaeya,10,3,10,8,28,32,7,10,20,14
Keqing,20,26,13,22,2,2,20,19,6,27
Klee,21,18,12,27,19,3,17,8,27,4
Lisa,29,22,20,19,15,21,27,18,5,24
Lumine,22,29,25,25,4,5,22,4,24,17
Mona,26,12,7,13,8,20,21,26,8,12
Ningguang,6,4,3,6,1,17,28,7,17,25
Noelle,14,9,14,29,6,16,30,9,32,28
Qiqi,4,14,32,2,20,4,15,13,4,5
Razor,8,23,27,11,27,22,16,25,29,6
Rosaria,25,6,18,31,24,28,32,30,31,15
Sucrose,18,11,22,24,9,6,24,16,21,33
Tartaglia,15,15,4,14,33,24,1,31,10,2
Venti,19,13,26,3,23,29,10,11,26,7
Xiangling,3,20,23,12,29,25,13,28,16,10
Xiao,28,17,5,17,11,13,6,12,3,16
Xingqiu,24,25,24,15,16,11,12,27,23,31
Xinyan,23,2,33,30,21,30,33,23,33,30
Zhongli,2,7,1,1,7,10,2,2,1,19